ssn,name,address,blood_group,mail,age,sex,smoker
160-03-3999,Melissa Conner,AB+,johnking@yahoo.com,37,M,False
686-17-5413,Patty Weber,O+,whitakerchristine@yahoo.com,19,M,False
419-40-6212,Michael Smith,A-,carrie23@gmail.com,69,M,True
608-52-3098,Stephanie Martin,AB+,wfisher@hotmail.com,85,F,False
230-29-8530,Joseph Guzman,AB-,lopezjennifer@gmail.com,72,F,True
049-30-3797,April Shaw,O-,ichavez@gmail.com,35,F,False
121-01-4904,Michelle Mcgrath,A-,rodriguezrebecca@hotmail.com,40,M,False
678-98-4606,Scott Snyder,AB+,mary70@gmail.com,28,F,False
438-95-8795,Peter Wilson,A-,fjohnson@gmail.com,39,F,False
286-57-6225,Tommy Choi,AB+,robert07@yahoo.com,59,F,False
770-80-4850,Vanessa Nelson,O+,steven24@hotmail.com,89,F,False
821-40-9849,Robert Brewer,B-,thomasjoshua@gmail.com,70,F,False
829-80-2262,Michael King,AB-,larsenkyle@gmail.com,65,M,False
364-64-3457,Linda Garcia,AB-,mtorres@hotmail.com,44,M,False
055-38-4542,Cindy Mosley,O+,wilsonjennifer@yahoo.com,68,M,False
652-76-3961,Jessica Dominguez,A-,castillodebra@hotmail.com,37,F,False
238-30-0680,Alicia Haas,O-,stacy42@gmail.com,94,M,False
329-14-6331,Karen Collins,A-,jennamiller@gmail.com,90,F,True
309-06-6579,Mark Cobb,B-,matthew07@gmail.com,84,F,False
265-86-4496,Joe Leonard,O+,brianna86@gmail.com,64,F,False
670-95-0518,Scott Kim,B+,pam80@yahoo.com,55,F,False
577-25-1251,Kathleen Miller,A-,mckinneybenjamin@yahoo.com,90,M,False
059-03-1647,Matthew Chavez,B-,juliabaker@yahoo.com,81,F,True
744-57-2367,Morgan Robinson,O+,chavezdebra@yahoo.com,22,M,True
592-13-4225,Kara Harper,O+,vgilbert@gmail.com,59,F,True
671-95-3827,John Moore,A+,meganluna@gmail.com,62,M,False
895-73-5523,Ashley Douglas MD,O-,nmcdowell@gmail.com,73,M,True
899-92-4968,Paul Johnson,O-,adamswesley@yahoo.com,52,M,False
